Report ID;Report Type;Arrest Date;Time;Area Name;Age;Sex Code;Descent Code;Charge Group Code;Charge Group Description;Arrest Type Code;LAT;LON;Booking Date;Booking Time;Booking Loc
6528234;BOOKING;01/01/2023 12:00:00 AM;1430;77th Street;18;M;H;04;Aggravated Assault;F;33.9834;-118.3134;01/01/2023 12:00:00 AM;1644;77TH ST
6528349;BOOKING;01/01/2023 12:00:00 AM;2115;Central;20;M;H;16;Narcotic Drug Laws;F;34.0483;-118.2631;01/02/2023 12:00:00 AM;0034;METRO - JAIL DIVISION
6528217;BOOKING;01/01/2023 12:00:00 AM;0445;Newton;49;M;B;08;Other Assaults;F;33.9966;-118.2652;01/01/2023 12:00:00 AM;1603;77TH ST
6528232;BOOKING;01/01/2023 12:00:00 AM;1205;Central;72;M;O;04;Aggravated Assault;F;34.0647;-118.2302;01/01/2023 12:00:00 AM;1641;METRO - JAIL DIVISION
6528264;BOOKING;01/01/2023 12:00:00 AM;1715;Olympic;22;M;H;24;Miscellaneous Other Violations;F;34.0427;-118.2916;01/01/2023 12:00:00 AM;1857;METRO - JAIL DIVISION
6528228;BOOKING;01/01/2023 12:00:00 AM;1320;Newton;26;M;H;14;Sex (except rape/prst);F;33.9915;-118.2652;01/01/2023 12:00:00 AM;1625;77TH ST
6528079;BOOKING;01/01/2023 12:00:00 AM;0245;Hollywood;37;M;W;04;Aggravated Assault;F;34.0907;-118.3332;01/01/2023 12:00:00 AM;0345;HOLLYWOOD
6528126;BOOKING;01/01/2023 12:00:00 AM;0230;Newton;28;F;H;04;Aggravated Assault;F;34.0228;-118.2568;01/01/2023 12:00:00 AM;0844;METRO - JAIL DIVISION
6528219;BOOKING;01/01/2023 12:00:00 AM;1200;Hollenbeck;31;F;H;04;Aggravated Assault;F;34.0447;-118.2075;01/01/2023 12:00:00 AM;1610;METRO - JAIL DIVISION
6528078;BOOKING;01/01/2023 12:00:00 AM;0122;Southeast;29;M;H;12;Weapon (carry/poss);F;33.9237;-118.2739;01/01/2023 12:00:00 AM;0341;77TH ST
6528343;BOOKING;01/01/2023 12:00:00 AM;2150;West LA;35;F;H;04;Aggravated Assault;F;34.0313;-118.3934;01/02/2023 12:00:00 AM;0023;VALLEY - JAIL DIV
6528054;BOOKING;01/01/2023 12:00:00 AM;0005;Southeast;19;M;B;12;Weapon (carry/poss);F;33.931;-118.2532;01/01/2023 12:00:00 AM;0215;77TH ST
6528323;BOOKING;01/01/2023 12:00:00 AM;2200;Pacific;36;M;W;04;Aggravated Assault;F;33.9453;-118.3747;01/01/2023 12:00:00 AM;2304;PACIFIC
6528164;BOOKING;01/01/2023 12:00:00 AM;0800;Mission;26;M;H;22;Driving Under Influence;M;34.3105;-118.4342;01/01/2023 12:00:00 AM;1120;VALLEY - JAIL DIV
6528125;BOOKING;01/01/2023 12:00:00 AM;0140;Hollywood;26;M;H;07;Vehicle Theft;F;34.1005;-118.318;01/01/2023 12:00:00 AM;0838;METRO - JAIL DIVISION
6528136;BOOKING;01/01/2023 12:00:00 AM;0530;Foothill;31;F;W;04;Aggravated Assault;F;34.2093;-118.3725;01/01/2023 12:00:00 AM;0941;VALLEY - JAIL DIV
6528172;BOOKING;01/01/2023 12:00:00 AM;1020;Southeast;27;M;H;03;Robbery;F;33.9601;-118.2651;01/01/2023 12:00:00 AM;1149;77TH ST
6528358;BOOKING;01/01/2023 12:00:00 AM;2245;Van Nuys;18;F;H;07;Vehicle Theft;F;34.1531;-118.4617;01/02/2023 12:00:00 AM;0114;VALLEY - JAIL DIV
6528328;BOOKING;01/01/2023 12:00:00 AM;2000;Mission;31;M;H;16;Narcotic Drug Laws;F;34.2214;-118.4677;01/01/2023 12:00:00 AM;2326;VALLEY - JAIL DIV
6528107;BOOKING;01/01/2023 12:00:00 AM;0100;N Hollywood;36;M;O;04;Aggravated Assault;F;34.1533;-118.4058;01/01/2023 12:00:00 AM;0722;METRO - JAIL DIVISION
6528075;BOOKING;01/01/2023 12:00:00 AM;0045;Southwest;36;F;B;16;Narcotic Drug Laws;F;34.0099;-118.3089;01/01/2023 12:00:00 AM;0336;METRO - JAIL DIVISION
6528294;BOOKING;01/01/2023 12:00:00 AM;1930;Southwest;31;M;B;12;Weapon (carry/poss);F;34.0075;-118.2819;01/01/2023 12:00:00 AM;2120;77TH ST
6528077;BOOKING;01/01/2023 12:00:00 AM;0045;Southwest;33;M;B;12;Weapon (carry/poss);F;34.0099;-118.3089;01/01/2023 12:00:00 AM;0338;METRO - JAIL DIVISION
6528265;BOOKING;01/01/2023 12:00:00 AM;1555;77th Street;38;M;H;22;Driving Under Influence;F;33.9746;-118.3003;01/01/2023 12:00:00 AM;1907;77TH ST
6528322;BOOKING;01/01/2023 12:00:00 AM;2023;77th Street;32;M;B;12;Weapon (carry/poss);F;33.9892;-118.3089;01/01/2023 12:00:00 AM;2302;77TH ST
6528093;BOOKING;01/01/2023 12:00:00 AM;0250;Devonshire;44;F;H;04;Aggravated Assault;F;34.2355;-118.5389;01/01/2023 12:00:00 AM;0446;VALLEY - JAIL DIV
6528119;BOOKING;01/01/2023 12:00:00 AM;0610;Hollywood;31;M;H;04;Aggravated Assault;F;34.1039;-118.331;01/01/2023 12:00:00 AM;0817;HOLLYWOOD
6528353;BOOKING;01/01/2023 12:00:00 AM;2030;N Hollywood;23;M;H;04;Aggravated Assault;F;34.1393;-118.362;01/02/2023 12:00:00 AM;0051;METRO - JAIL DIVISION
6528303;BOOKING;01/01/2023 12:00:00 AM;1930;77th Street;39;M;B;12;Weapon (carry/poss);F;33.9619;-118.2717;01/01/2023 12:00:00 AM;2156;77TH ST
6528091;BOOKING;01/01/2023 12:00:00 AM;0355;Hollywood;21;F;W;04;Aggravated Assault;F;34.098;-118.3295;01/01/2023 12:00:00 AM;0443;HOLLYWOOD
6528198;BOOKING;01/01/2023 12:00:00 AM;1140;Van Nuys;23;F;H;04;Aggravated Assault;F;34.2048;-118.4312;01/01/2023 12:00:00 AM;1358;VALLEY - JAIL DIV
6528094;BOOKING;01/01/2023 12:00:00 AM;0130;Southeast;38;M;H;12;Weapon (carry/poss);F;33.947;-118.2594;01/01/2023 12:00:00 AM;0451;77TH ST
6528330;BOOKING;01/01/2023 12:00:00 AM;2100;Southeast;41;M;H;04;Aggravated Assault;F;33.9292;-118.2717;01/01/2023 12:00:00 AM;2333;77TH ST
6528135;BOOKING;01/01/2023 12:00:00 AM;0405;Newton;30;M;H;05;Burglary;F;33.9925;-118.2608;01/01/2023 12:00:00 AM;0939;METRO - JAIL DIVISION
6528059;BOOKING;01/01/2023 12:00:00 AM;0005;Olympic;19;F;H;08;Other Assaults;M;34.0707;-118.2929;01/01/2023 12:00:00 AM;0232;METRO - JAIL DIVISION
6528267;BOOKING;01/01/2023 12:00:00 AM;1600;Olympic;27;M;H;03;Robbery;F;34.0652;-118.2878;01/01/2023 12:00:00 AM;1921;77TH ST
6528371;BOOKING;01/01/2023 12:00:00 AM;2240;Van Nuys;23;M;H;23;Moving Traffic Violations;F;34.1576;-118.4607;01/02/2023 12:00:00 AM;0200;VALLEY - JAIL DIV
6528292;BOOKING;01/01/2023 12:00:00 AM;1840;77th Street;17;M;H;12;Weapon (carry/poss);F;33.9933;-118.3089;01/01/2023 12:00:00 AM;2117;77TH ST
6528218;BOOKING;01/01/2023 12:00:00 AM;1315;Rampart;25;M;W;06;Larceny;M;34.0539;-118.2712;01/01/2023 12:00:00 AM;1604;METRO - JAIL DIVISION
6528183;BOOKING;01/01/2023 12:00:00 AM;1115;Pacific;60;M;W;24;Miscellaneous Other Violations;M;33.9564;-118.4388;01/01/2023 12:00:00 AM;1236;PACIFIC
6528359;BOOKING;01/01/2023 12:00:00 AM;2210;Topanga;17;M;H;03;Robbery;F;34.201;-118.5977;01/02/2023 12:00:00 AM;0115;TOPANGA AREA
6528366;BOOKING;01/01/2023 12:00:00 AM;2330;Southwest;31;F;H;09;Forgery/Counterfeit;M;34.0349;-118.3046;01/02/2023 12:00:00 AM;0127;METRO - JAIL DIVISION
6528326;BOOKING;01/01/2023 12:00:00 AM;1920;Southwest;48;M;B;04;Aggravated Assault;F;34.0145;-118.2937;01/01/2023 12:00:00 AM;2322;METRO - JAIL DIVISION
6528258;BOOKING;01/01/2023 12:00:00 AM;1430;Hollenbeck;68;M;H;04;Aggravated Assault;F;34.0664;-118.1871;01/01/2023 12:00:00 AM;1827;METRO - JAIL DIVISION
6528248;BOOKING;01/01/2023 12:00:00 AM;1500;Newton;57;M;H;08;Other Assaults;M;33.9842;-118.2765;01/01/2023 12:00:00 AM;1722;77TH ST
6528206;BOOKING;01/01/2023 12:00:00 AM;1200;Newton;28;M;B;08;Other Assaults;M;34.0007;-118.2696;01/01/2023 12:00:00 AM;1449;METRO - JAIL DIVISION
6528304;BOOKING;01/01/2023 12:00:00 AM;2040;Harbor;48;M;H;08;Other Assaults;F;33.7826;-118.2684;01/01/2023 12:00:00 AM;2159;HARBOR
6528061;BOOKING;01/01/2023 12:00:00 AM;0030;Southeast;45;M;B;08;Other Assaults;F;33.9331;-118.2532;01/01/2023 12:00:00 AM;0241;77TH ST
6528271;BOOKING;01/01/2023 12:00:00 AM;1715;Southwest;43;M;H;07;Vehicle Theft;M;34.0268;-118.2808;01/01/2023 12:00:00 AM;1951;77TH ST
6528369;BOOKING;01/01/2023 12:00:00 AM;2210;Topanga;16;F;B;03;Robbery;F;34.201;-118.5977;01/02/2023 12:00:00 AM;0152;TOPANGA AREA
6528127;BOOKING;01/01/2023 12:00:00 AM;0155;Central;37;M;B;08;Other Assaults;M;34.0502;-118.2539;01/01/2023 12:00:00 AM;0848;METRO - JAIL DIVISION
6528315;BOOKING;01/01/2023 12:00:00 AM;2130;Pacific;15;M;W;08;Other Assaults;F;33.9874;-118.406;01/01/2023 12:00:00 AM;2234;PACIFIC
6528108;BOOKING;01/01/2023 12:00:00 AM;0415;Devonshire;21;M;H;22;Driving Under Influence;M;34.2251;-118.5372;01/01/2023 12:00:00 AM;0734;VALLEY - JAIL DIV
6528331;BOOKING;01/01/2023 12:00:00 AM;2148;Hollenbeck;23;F;H;22;Driving Under Influence;F;34.0472;-118.2198;01/01/2023 12:00:00 AM;2341;METRO - JAIL DIVISION
6528373;BOOKING;01/01/2023 12:00:00 AM;2130;Hollywood;32;M;W;08;Other Assaults;M;34.1016;-118.3387;01/02/2023 12:00:00 AM;0205;HOLLYWOOD
6528336;BOOKING;01/01/2023 12:00:00 AM;2217;Southeast;57;M;B;22;Driving Under Influence;M;33.931;-118.2739;01/01/2023 12:00:00 AM;2352;77TH ST
6528290;BOOKING;01/01/2023 12:00:00 AM;1730;Van Nuys;60;F;W;07;Vehicle Theft;F;34.1493;-118.4307;01/01/2023 12:00:00 AM;2105;VALLEY - JAIL DIV
6528112;BOOKING;01/01/2023 12:00:00 AM;0100;Newton;31;M;H;22;Driving Under Influence;M;33.9824;-118.2718;01/01/2023 12:00:00 AM;0751;77TH ST
6528230;BOOKING;01/01/2023 12:00:00 AM;1415;Van Nuys;39;M;B;06;Larceny;M;34.1939;-118.4487;01/01/2023 12:00:00 AM;1636;VALLEY - JAIL DIV
